LoanRange,BusinessName,Address,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
a $5-10 million,BALCH & BINGHAM LLP,1901 6TH AVE N Ste 1500,BIRMINGHAM,AL,35203,541110,Partnership,Unanswered,Unanswered,Unanswered,,381,4/5/2020,BBVA USA,AL - 07
a $5-10 million,BEVILACQUA RESEARCH CORPORATION,4901 CORPORATE DR Ste B,HUNTSVILLE,AL,35805,541330,Corporation,Unanswered,Unanswered,Unanswered,,343,4/28/2020,Synovus Bank,AL - 05
a $5-10 million,"CAPITOL BUSINESS EQUIPMENT, INC.",PO BOX 1944,MONTGOMERY,AL,36102,423420,Corporation,Unanswered,Unanswered,Unanswered,,438,4/7/2020,Synovus Bank,AL - 02
a $5-10 million,"CARR, RIGGS & INGRAM, LLC",901 BOLL WEEVIL CIR SUITE 200,ENTERPRISE,AL,36330,541211,Limited  Liability Company(LLC),White,Male Owned,Unanswered,,0,4/27/2020,ServisFirst Bank,AL - 02
a $5-10 million,"CONTINENTAL AEROSPACE TECHNOLOGIES, INC.",2039 S BROAD ST,MOBILE,AL,36615,336414,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,464,4/15/2020,Regions Bank,AL - 01
a $5-10 million,DESHAZO LLC,200 Kilsby Circle,BESSEMER,AL,35022,339999,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,439,4/13/2020,Regions Bank,AL - 06
a $5-10 million,DOTHAN SECURITY INC,600 West Adams ST,DOTHAN,AL,36303,561612,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,500,4/13/2020,MidSouth Bank,AL - 02
a $5-10 million,DYNAMIC SECURITY INC,1102 Woodward Ave,MUSCLE SHOALS,AL,35661,561612,Corporation,Unanswered,Unanswered,Unanswered,,10,4/28/2020,BBVA USA,AL - 04
a $5-10 million,"E.A. RENFROE & COMPANY, INC.",1600 CORPORATE DR,BIRMINGHAM,AL,35242,812990,Corporation,Unanswered,Unanswered,Unanswered,,218,4/14/2020,BBVA USA,AL - 06
a $5-10 million,ENCORE REHABILITATION INC,251 JOHNSTON ST SE STE 200,DECATUR,AL,35601,624190,Corporation,Unanswered,Unanswered,Unanswered,,500,4/8/2020,IBERIABANK,AL - 05
a $5-10 million,"FACTORY CONNECTION, LLC",2300 Highway 79 South,GUNTERSVILLE,AL,35976,448140,Corporation,Unanswered,Unanswered,Unanswered,,85,4/14/2020,Regions Bank,AL - 04
a $5-10 million,"FELDER SERVICES, LLC",3400 N Beltline Park Dr,MOBILE,AL,36617,561720,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,500,4/9/2020,Oakworth Capital Bank,AL - 01
a $5-10 million,"GENERAL SOUTHERN INDUSTRIES, INC.",15825 Alabama 243,RUSSELLVILLE,AL,35654,332312,Corporation,Unanswered,Unanswered,Unanswered,,374,4/14/2020,FirstBank,AL - 04
a $5-10 million,HOMETOWN LENDERS,350 THE BRIDGE ST SUITE 200,HUNTSVILLE,AL,35806,522310,Corporation,Unanswered,Male Owned,Non-Veteran,,393,4/13/2020,Trustmark National Bank,AL - 05
a $5-10 million,"IHP OPERATIONS , LLC",1769 LAWRENCE ST E,RUSSELLVILLE,AL,35654,333414,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,499,4/14/2020,"Cadence Bank, National Association",AL - 04
a $5-10 million,J & M TANK LINES INC.,7501 Meadowlark Drive,BIRMINGHAM,AL,35242,484230,Corporation,Unanswered,Unanswered,Unanswered,,250,4/7/2020,Renasant Bank,AL - 06
a $5-10 million,"JOHNSON CONTRACTORS, INC.",3635 2ND STREET,MUSCLE SHOALS,AL,35661,213112,Corporation,Unanswered,Unanswered,Unanswered,,368,4/6/2020,Bank Independent,AL - 04
a $5-10 million,"LEGACY CABINETS, INC.",285 LEGACY BLVD,EASTABOGA,AL,36260,337110,Corporation,Unanswered,Unanswered,Unanswered,,500,4/30/2020,Regions Bank,AL - 03
a $5-10 million,"MAGNOLIA RIVER SERVICES, INC.",711 Nance Ford Rd SW Suite E,HARTSELLE,AL,35640,541360,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,400,4/6/2020,Peoples Bank of Alabama,AL - 05
a $5-10 million,"MAILSOUTH, INC.",5901 HIGHWAY 52 E,HELENA,AL,35080,541810,Corporation,Unanswered,Unanswered,Unanswered,,0,4/30/2020,Renasant Bank,AL - 06
a $5-10 million,"MAPLES INDUSTRIES, INC.",2210 Moody Ridge Rd,SCOTTSBORO,AL,35768,314110,Corporation,Unanswered,Male Owned,Non-Veteran,,500,4/6/2020,Regions Bank,AL - 05
a $5-10 million,"MAYNARD COOPER & GALE, PC.",1901 6TH AVE N Ste 2400,BIRMINGHAM,AL,35203,541110,Corporation,Unanswered,Unanswered,Unanswered,,465,4/13/2020,Regions Bank,AL - 07
a $5-10 million,"MONTGOMERY TRANSPORT, LLC",2563 COMMERCE CIRCLE,BIRMINGHAM,AL,35217,484121,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,500,4/9/2020,ServisFirst Bank,AL - 06
a $5-10 million,NAPHCARE US INC,2090 Columbiana Road,VESTAVIA HILLS,AL,35216,621399,Corporation,White,Male Owned,Veteran,,499,4/15/2020,Regions Bank,AL - 06
a $5-10 million,NLOGIC LLC,4901 Corporate,HUNTSVILLE,AL,35805,541110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,310,4/14/2020,BBVA USA,AL - 05
a $5-10 million,NORTON LILLY INTERNATIONAL INC,1 SAINT LOUIS CENTRE STE 5000,MOBILE,AL,36602,488510,Corporation,Unanswered,Unanswered,Unanswered,,413,4/13/2020,Hancock Whitney Bank,AL - 01
a $5-10 million,ONCOLOGY SPECIALTIES PC,2601 CCI DR,HUNTSVILLE,AL,35805,621112,Corporation,Unanswered,Unanswered,Unanswered,,440,4/8/2020,Regions Bank,AL - 05
a $5-10 million,"PARKER TOWING COMPANY, INC.",1001 3RD ST,NORTHPORT,AL,35476,483211,Corporation,White,Unanswered,Unanswered,,373,4/3/2020,Beach Community Bank,AL - 04
a $5-10 million,"PIGGLY WIGGLY ALABAMA DISTRIBUTING COMPANY, INC",2400 J Terrell Wooten Drive,BESSEMER,AL,35020,424410,Corporation,Unanswered,Unanswered,Unanswered,,410,4/14/2020,BBVA USA,AL - 06
a $5-10 million,"PINNACLE SOLUTIONS, INC.",5030 BRADFORD DR,HUNTSVILLE,AL,35805,336413,Corporation,Unanswered,Unanswered,Unanswered,,419,4/7/2020,ServisFirst Bank,AL - 05
a $5-10 million,"QUALITY RESTAURANT CONCEPTS, LLC",VESTAVIA PKWY,VESTAVIA,AL,35216,722513,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,500,4/13/2020,Equity Bank,AL - 06
a $5-10 million,RUSKEN PACKAGING INC,64 Walnut St NW,CULLMAN,AL,35055,322211,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,500,4/14/2020,Regions Bank,AL - 04
a $5-10 million,"SCOTCH PLYWOOD COMPANY, INC.",38 PO BOX,FULTON,AL,36446,321212,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,426,4/13/2020,Hancock Whitney Bank,AL - 07
a $5-10 million,SECURITY ENGINEERS INC,1617 3rd Ave N,BIRMINGHAM,AL,35203,561612,Corporation,Unanswered,Unanswered,Unanswered,,500,4/29/2020,BBVA USA,AL - 07
a $5-10 million,"SIROTE & PERMUTT, PC",2311 HIGHLAND AVE,BIRMINGHAM,AL,35205,541110,Corporation,White,Male Owned,Non-Veteran,,169,4/15/2020,"Cadence Bank, National Association",AL - 06
a $5-10 million,"SOUTHERN FOODSERVICE MANAGEMENT, INC.",431 OFFICE PARK DR 1st Floor,MOUNTAIN BRK,AL,35223,722511,Corporation,Unanswered,Unanswered,Unanswered,,500,4/5/2020,BBVA USA,AL - 06
a $5-10 million,SOUTHERN RESEARCH INSTITUTE,2000 9TH AVE,BIRMINGHAM,AL,35205,541715,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,424,4/9/2020,Regions Bank,AL - 06
a $5-10 million,SUMMITMEDIA LLC,2700 CORPORATE DR SUITE 115,BIRMINGHAM,AL,35242,515112,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,349,4/9/2020,Synovus Bank,AL - 06
a $5-10 million,"SUNSHINE MILLS, INC.",500 6TH ST SW,RED BAY,AL,35582,311111,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,500,4/13/2020,Regions Bank,AL - 04
a $5-10 million,"SYSTEM STUDIES & SIMULATION, INC.",615 DISCOVERY DRIVE,HUNTSVILLE,AL,35806,541690,Corporation,Unanswered,Unanswered,Unanswered,,262,4/29/2020,"Bank of America, National Association",AL - 05
a $5-10 million,"THE ORTHOPAEDIC CENTER, PC","927 Franklin Street 3rd floor,",HUNTSVILLE,AL,35801,621111,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,460,4/11/2020,Regions Bank,AL - 05
a $5-10 million,"TRIGREEN EQUIPMENT, LLC",1776 TRIGREEN DR,ATHENS,AL,35611,423820,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,425,4/9/2020,First Southern Bank,AL - 05
a $5-10 million,"TURENNE & ASSOCIATES, LLC",365 Industrial Park Blvd,MONTGOMERY,AL,36117,623110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,500,4/15/2020,Regions Bank,AL - 02
a $5-10 million,WOOD FRUITTICHER GROCERY COMPANY INC,2900 Alton Road,BIRMINGHAM,AL,35210,424410,Corporation,Unanswered,Unanswered,Unanswered,,377,4/5/2020,IBERIABANK,AL - 06
a $5-10 million,ARKANSAS HOSPICE INC,14 PARKSTONE CIR,NORTH LITTLE ROCK,AR,72116,623311,Non-Profit Organization,White,Female Owned,Unanswered,Y,441,6/15/2020,First Security Bank,AR - 02
a $5-10 million,ARKANSAS PULMONARY CLINIC,9601 BAPTIST HEALTH DR STE 560,LITTLE ROCK,AR,72205,621111,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,5,4/30/2020,"Bank of America, National Association",AR - 02
a $5-10 million,"CENTRAL RESEARCH, INC.",122 N. Bloomington St Ste 1,LOWELL,AR,72745,561440,Corporation,White,Male Owned,Non-Veteran,,481,4/6/2020,Arvest Bank,AR - 03
a $5-10 million,"INCITE REHAB, LLC","824 Salem Road, Suite 210",CONWAY,AR,72034,621340,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,412,4/15/2020,Centennial Bank,AR - 02
a $5-10 million,"INTIMIDATOR, INC.",1 Bad Boy Blvd,BATESVILLE,AR,72501,332911,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,266,4/7/2020,First Community Bank,AR - 01
a $5-10 million,J.A. RIGGS TRACTOR COMPANY,9125 Interstate 30,LITTLE ROCK,AR,72209,333924,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,4/8/2020,Simmons Bank,AR - 02
a $5-10 million,MATHEWS MANAGEMENT CO,1468 E MOUNTAIN RD,SPRINGDALE,AR,72764,722513,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,500,4/8/2020,Arvest Bank,AR - 03
a $5-10 million,"MCC GROUP HOLDINGS, INC.",2300 North Lowell Road,SPRINGDALE,AR,72764,238220,Corporation,Unanswered,Unanswered,Unanswered,,500,4/13/2020,Regions Bank,AR - 03
a $5-10 million,"MEDICAL ASSOCIATES OF NWA, P.A.",3383 N MANA CT SUITE 201,FAYETTEVILLE,AR,72703,621111,Professional Association,Unanswered,Unanswered,Unanswered,,500,4/8/2020,Arvest Bank,AR - 03
a $5-10 million,PERFECTVISION MANUFACTURING INC,16101 LaGrande Dr,LITTLE ROCK,AR,72223,423620,Corporation,Unanswered,Unanswered,Unanswered,,391,4/16/2020,"Bank of America, National Association",AR - 02
a $5-10 million,RAUSCH COLEMAN DEVELOPMENT GROUP INC,4058 N COLLEGE AVE,FAYETTEVILLE,AR,72703,236117,Corporation,Unanswered,Unanswered,Unanswered,,250,4/4/2020,Arvest Bank,AR - 03
a $5-10 million,ROCK DENTAL MISSOURI LLC,500 SHALL ST A,LITTLE ROCK,AR,72202,621210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,4/3/2020,OakStar Bank,AR - 02
a $5-10 million,"SGOH ACQUISITION, INC",1101 Jackson St SW,GRAVETTE,AR,72736,622110,Subchapter S Corporation,White,Male Owned,Non-Veteran,,500,4/7/2020,Old Missouri Bank,AR - 03
a $5-10 million,"SOUTHERN PIPELINE CONSTRUCTION COMPANY, INC.",2600 Eastline Road,SEARCY,AR,72143,237120,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,223,4/15/2020,Centennial Bank,AR - 01
a $5-10 million,SYSTEMS PLANT SERVICES INC,POBOX 11390,EL DORADO,AR,71730,236210,Corporation,Unanswered,Unanswered,Unanswered,,500,4/13/2020,IBERIABANK,AR - 04
a $5-10 million,"THE PRICE COMPANIES, INC.","218 Midway Route,",MONTICELLO,AR,71655,322121,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,500,4/13/2020,Regions Bank,AR - 01
a $5-10 million,TRANSCO LINES INC.,401 N Arkansas St,RUSSELLVILLE,AR,72801,484121,Corporation,Unanswered,Unanswered,Unanswered,,463,4/7/2020,"Community Banks of Colorado, A Division of",AR - 03
a $5-10 million,"VCC, LLC","1 Information Way, Ste. 300",LITTLE ROCK,AR,72202,531120,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,266,4/5/2020,Simmons Bank,AR - 02
a $5-10 million,WELSPUN PIPES INC,9301 FRAZIER PIKE,LITTLE ROCK,AR,72206,331210,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,500,6/29/2020,First Arkansas Bank and Trust,AR - 02
a $5-10 million,AKDHC LLC,3333 E CAMELBACK,PHOENIX,AZ,85018,621111,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,438,4/27/2020,BBVA USA,AZ - 07
a $5-10 million,ALCANTAR MARKETING LLC,3930 E. University Dr,MESA,AZ,85205,524130,Corporation,Unanswered,Male Owned,Non-Veteran,,2,4/28/2020,Celtic Bank Corporation,AZ - 05
a $5-10 million,AMERIFIRST FINANCIAL INC,"1550 E MCKELLIPS RD, STE 117",MESA,AZ,85203,523999,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,471,4/27/2020,Little Horn State Bank,AZ - 05
a $5-10 million,"ARIZONA COMMUNITY PHYSICIANS, P.C.",5055 E BROADWAY BLVD Ste A100,TUCSON,AZ,85711,621111,Corporation,Unanswered,Unanswered,Unanswered,,500,4/29/2020,The Northern Trust Company,AZ - 02
a $5-10 million,ATRIUM FINANCE I LP,2398 E CAMELBACK RD STE 1000,PHOENIX,AZ,85016,721110,Partnership,Unanswered,Unanswered,Unanswered,,0,4/30/2020,"Wells Fargo Bank, National Association",AZ - 07
a $5-10 million,"CANNON & WENDT ELECTRIC CO., INC.",4020 N. 16th St.,PHOENIX,AZ,85016,238210,Employee Stock Ownership Plan(ESOP),Unanswered,Unanswered,Unanswered,,0,4/6/2020,"UMB Bank, National Association",AZ - 07
a $5-10 million,CHILDRENS LEARNING ADVENTURE USA LLC,14631 N SCOTTSDALE RD SUITE 200,SCOTTSDALE,AZ,85254,624410,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,5/3/2020,"Wells Fargo Bank, National Association",AZ - 06
a $5-10 million,"CONNECTIONS HEALTH SOLUTIONS, LLC",2394 E CAMELBACK RD STE 200,PHOENIX,AZ,85016,621420,Limited  Liability Company(LLC),American Indian or Alaska Native,Male Owned,Non-Veteran,,500,4/27/2020,Commerce Bank of Arizona,AZ - 07
a $5-10 million,"CONSTRUCTION GROUP STAFFING, LLC",8712 E Via de Commercia Suite 2,SCOTTSDALE,AZ,85258,561320,Subchapter S Corporation,Unanswered,Female Owned,Unanswered,,500,5/8/2020,US Eagle FCU,AZ - 06
a $5-10 million,"DAWG, INC.",15685 N CAVE CREEK RD,PHOENIX,AZ,85032,561320,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,349,4/11/2020,Johnson Bank,AZ - 06
a $5-10 million,"DESERT STONE ARCH PROPERTIES, LLC (EPC)",2810 S. SOSSAMAN RD STE 106,MESA,AZ,85212,561710,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,500,4/29/2020,Comerica Bank,AZ - 04
a $5-10 million,"EVO TRANSPORTATION & ENERGY SERVICES, INC.",2075 West Pinnacle Peak Rd. Ste. 130,PHOENIX,AZ,85027,488510,Corporation,Unanswered,Male Owned,Non-Veteran,,500,4/13/2020,"BOKF, National Association",AZ - 06
a $5-10 million,FPR-II LLC,5310 E HIGH ST SUITE 300,PHOENIX,AZ,85054,561320,Corporation,Unanswered,Unanswered,Unanswered,,,5/3/2020,"Wells Fargo Bank, National Association",AZ - 06
a $5-10 million,HAYDON BUILDING CORP,4640 EAST COTTON GIN LOOP,PHOENIX,AZ,85040,236220,Corporation,Unanswered,Unanswered,Unanswered,,436,4/9/2020,"Zions Bank, A Division of",AZ - 07
a $5-10 million,HEALTH SERVICES HOLDINGS INC,3133 East Camelback Road,PHOENIX,AZ,85016,621111,Corporation,Unanswered,Unanswered,Unanswered,,378,4/27/2020,BBVA USA,AZ - 07
a $5-10 million,"HOME HEALTH AGENCY - ARIZONA, LLC",2999 N44th Street Suite 100,PHOENIX,AZ,85018,621610,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,500,4/11/2020,"JPMorgan Chase Bank, National Association",AZ - 07
a $5-10 million,"HOMEOWNERS FINANCIAL GROUP USA, LLC",16427 N SCOTTSDALE RD STE 145,SCOTTSDALE,AZ,85254,522292,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,382,4/27/2020,Western Alliance Bank,AZ - 06
a $5-10 million,HOT PIZZAS LLC,3845 Stockton Hill Rd,KINGMAN,AZ,86409,722513,Subchapter S Corporation,White,Female Owned,Non-Veteran,,500,4/8/2020,The Huntington National Bank,AZ - 04
a $5-10 million,HOT TACOS INC,3845 Stockton Hill Rd,KINGMAN,AZ,86409,722513,Subchapter S Corporation,White,Female Owned,Non-Veteran,,500,4/8/2020,The Huntington National Bank,AZ - 04
a $5-10 million,INT TECHNOLOGIES LLC,4862 E BASELINE RD STE 104,MESA,AZ,85206,541519,Limited  Liability Company(LLC),Unanswered,Male Owned,Veteran,,278,4/15/2020,BBVA USA,AZ - 05
a $5-10 million,"JFQ LENDING, INC",15051 N Kierland Blvd Suite 280,SCOTTSDALE,AZ,85254,522310,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,305,4/7/2020,City National Bank of Florida,AZ - 06
a $5-10 million,KALIL BOTTLING CO.,P.O. Box 26888 0.0,TUCSON,AZ,85726,312111,Corporation,Unanswered,Unanswered,Unanswered,,500,4/13/2020,"JPMorgan Chase Bank, National Association",AZ - 03
a $5-10 million,LEWIS ROCA ROTHGERBER CHRISTIE LLP,201 E. Washington St.,PHOENIX,AZ,85004,541110,Partnership,Unanswered,Unanswered,Unanswered,,418,4/27/2020,BMO Harris Bank National Association,AZ - 07
a $5-10 million,LIFEWELL BEHAVIORAL WELLNESS,202 East Earll Dr. Ste. 200,PHOENIX,AZ,85012,813410,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,,4/13/2020,Bankers Trust Company,AZ - 07
a $5-10 million,M3 ENGINEERING & TECHNOLOGY CORPORATION,2051 SUNSET RD SUITE 101,TUCSON,AZ,85704,541330,Corporation,Unanswered,Unanswered,Unanswered,,300,4/28/2020,Western Alliance Bank,AZ - 01
a $5-10 million,MCDONOUGH CORPORATION,21050 North Pima Road Ste 100,SCOTTSDALE,AZ,85255,493110,Corporation,Unanswered,Unanswered,Unanswered,,358,4/14/2020,BBVA USA,AZ - 06
a $5-10 million,"MODERN INDUSTRIES, INC.",4747 E Beautiful Ln,PHOENIX,AZ,85044,333242,Corporation,Unanswered,Unanswered,Unanswered,,478,4/8/2020,"Zions Bank, A Division of",AZ - 07
a $5-10 million,MOON VALLEY NURSERY FARM HOLDINGS LLC,19820 N 7TH ST STE 260,PHOENIX,AZ,85024,111421,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,319,4/16/2020,"Zions Bank, A Division of",AZ - 06
a $5-10 million,"MORRISON, EKRE & BART MANAGEMENT SERVICES, INC.",120 E CONGRESS ST,TUCSON,AZ,85701,531110,Corporation,Unanswered,Male Owned,Unanswered,,500,4/27/2020,Metro Phoenix Bank,AZ - 03
a $5-10 million,"MT. GRAHAM REGIONAL MEDICAL CENTER, INC.",1600 S. 20th Avenue,SAFFORD,AZ,85546,622110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,381,4/15/2020,"Zions Bank, A Division of",AZ - 01
a $5-10 million,NAVAJO TRIBAL UTILITY AUTHORITY,PO Box 170,FORT DEFIANCE,AZ,86504,221122,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,500,4/11/2020,Great Western Bank,AZ - 01
a $5-10 million,"NEXTIVA, INC.",8880 E CHAPPARAL RD SUITE 300,SCOTTSDALE,AZ,85250,517311,Corporation,Unanswered,Unanswered,Unanswered,,500,4/12/2020,Arizona Bank & Trust,AZ - 06
a $5-10 million,"ON Q FINANCIAL, INC.","615 S. River Dr., Ste. 170",TEMPE,AZ,85281,522390,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,481,4/28/2020,MidFirst Bank,AZ - 09
a $5-10 million,"OREGANO'S PIZZA BISTRO, INC.",8300 N HAYDEN RD STE A207,SCOTTSDALE,AZ,85258,722511,Corporation,Unanswered,Unanswered,Unanswered,,500,4/10/2020,BBVA USA,AZ - 06
a $5-10 million,ORTHOPEDIC SPECIALISTS OF NORTH AMERICA PLLC,4222 E THOMAS RD STE 250,PHOENIX,AZ,85018,621111,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,500,4/28/2020,"BOKF, National Association",AZ - 07
a $5-10 million,"P.F. CHANG'S CHINA BISTRO, INC.",8377 E HARTFORD DR Ste 200,SCOTTSDALE,AZ,85255,722511,Corporation,Unanswered,Unanswered,Unanswered,,500,4/14/2020,"Newtek Small Business Finance, Inc.",AZ - 06
a $5-10 million,"PAUL JOHNSON DRYWALL, INC.",1620 WILLOW CREEK RD,PRESCOTT,AZ,86301,238310,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,200,4/4/2020,"BOKF, National Association",AZ - 04
a $5-10 million,PLEXUS WORLDWIDE LLC,15649 GREENWAY HAYDEN LOOP,SCOTTSDALE,AZ,85260,423110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,250,4/4/2020,BBVA USA,AZ - 06
